"563, 307","575, 318","584, 284","595, 293"
"643, 238","656, 247","660, 220","673, 228"
"674, 421","683, 434","695, 400","704, 412"
"0, 0","0, 0","0, 0","0, 0"
"699, 245","712, 252","713, 230","726, 236"
"589, 247","598, 260","604, 229","612, 242"
"565, 295","573, 302","580, 279","587, 286"
"653, 232","661, 238","665, 220","673, 225"
"666, 283","673, 292","680, 270","686, 279"
"0, 0","0, 0","0, 0","0, 0"
"683, 264","691, 270","692, 254","701, 258"
"558, 348","564, 357","568, 337","574, 345"
"595, 284","650, 335","695, 169","754, 217"
"604, 194","669, 236","685, 98","749, 134"
"540, 390","584, 444","625, 292","672, 345"
"0, 0","0, 0","0, 0","0, 0"
"671, 168","738, 203","736, 84","802, 111"
"493, 427","533, 487","571, 341","616, 403"
"586, 302","592, 308","597, 290","602, 296"
"606, 277","612, 282","615, 268","621, 272"
"623, 370","627, 376","633, 359","637, 366"
"0, 0","0, 0","0, 0","0, 0"
"601, 208","608, 214","610, 201","617, 205"
"568, 315","573, 321","576, 306","580, 312"
"599, 277","604, 281","609, 267","613, 271"
"627, 364","631, 369","635, 356","639, 361"
"0, 0","0, 0","0, 0","0, 0"
"597, 267","601, 270","605, 258","609, 262"
"600, 329","603, 332","607, 321","610, 326"
"0, 0","0, 0","0, 0","0, 0"
"548, 294","577, 320","600, 235","629, 259"
"687, 193","718, 214","729, 146","761, 164"
"654, 345","677, 373","698, 294","721, 321"
"0, 0","0, 0","0, 0","0, 0"
"638, 150","673, 169","674, 108","708, 123"
"567, 363","588, 394","605, 319","627, 350"
"555, 277","574, 295","591, 238","610, 254"
"648, 272","669, 286","677, 241","697, 253"
"673, 400","688, 420","703, 365","719, 385"
"0, 0","0, 0","0, 0","0, 0"
"657, 336","680, 348","681, 309","703, 320"
"569, 265","584, 286","592, 236","608, 257"
"579, 281","593, 293","605, 252","619, 264"
"649, 254","665, 263","670, 230","686, 239"
"705, 419","716, 434","727, 393","738, 407"
"0, 0","0, 0","0, 0","0, 0"
"683, 261","701, 270","701, 241","718, 250"
"502, 320","513, 336","521, 297","533, 315"
"687, 336","699, 347","707, 313","719, 324"
"721, 264","734, 275","738, 246","750, 255"
"629, 371","639, 383","647, 352","658, 363"
"725, 248","739, 257","739, 232","752, 240"
"575, 275","586, 287","590, 259","600, 271"
"662, 356","670, 364","676, 341","684, 349"
"690, 290","699, 297","701, 278","710, 284"
"639, 370","646, 377","651, 357","658, 365"
"679, 288","689, 294","688, 277","697, 283"
"563, 324","570, 332","573, 313","579, 321"
"643, 390","699, 440","743, 280","797, 330"
"665, 250","729, 299","743, 146","803, 192"
"585, 438","636, 491","683, 342","737, 398"
"759, 167","829, 214","821, 68","886, 113"
"524, 467","573, 527","617, 390","671, 453"
"679, 358","685, 364","689, 347","695, 352"
"661, 297","668, 302","670, 288","676, 293"
"589, 409","595, 416","598, 399","604, 405"
"772, 294","778, 299","780, 286","786, 291"
"492, 429","498, 435","500, 421","505, 428"
"696, 339","700, 343","703, 330","708, 334"
"657, 373","661, 378","664, 365","668, 370"
"681, 314","685, 317","688, 306","691, 309"
"664, 352","667, 355","670, 345","673, 348"
"635, 355","662, 380","684, 302","710, 326"
"775, 284","807, 307","814, 235","846, 256"
"586, 378","612, 406","635, 328","663, 356"
"676, 260","709, 282","707, 217","738, 237"
"547, 450","572, 480","588, 410","615, 440"
"642, 365","661, 379","674, 329","692, 344"
"744, 269","765, 284","771, 236","792, 251"
"576, 350","593, 369","607, 317","625, 335"
"733, 275","755, 289","754, 247","776, 261"
"619, 407","633, 426","644, 384","659, 403"
"694, 344","708, 356","720, 315","733, 327"
"692, 310","707, 321","711, 286","727, 296"
"611, 365","624, 379","634, 340","647, 354"
"715, 258","731, 269","731, 238","747, 248"
"595, 343","607, 357","613, 324","626, 339"
"621, 330","632, 341","642, 308","652, 319"
"679, 310","691, 319","692, 290","708, 300"
"565, 366","575, 378","584, 346","594, 358"
"723, 275","736, 284","738, 259","750, 267"
"594, 397","604, 409","609, 381","619, 393"
"641, 308","648, 315","656, 293","662, 300"
"671, 320","680, 326","683, 308","689, 313"
"627, 372","634, 379","640, 359","646, 366"
"747, 279","756, 285","757, 268","765, 274"
"618, 436","625, 444","628, 424","635, 432"
"618, 314","674, 370","726, 201","785, 254"
"601, 221","662, 266","682, 130","739, 172"
"507, 366","555, 426","610, 267","662, 326"
"695, 136","760, 182","764, 59","824, 100"
"378, 386","424, 453","475, 302","526, 371"
"644, 303","649, 308","655, 293","659, 297"
"670, 344","676, 349","679, 335","685, 339"
"631, 383","636, 389","641, 373","646, 379"
"653, 248","659, 253","662, 239","667, 242"
"582, 400","586, 406","590, 391","594, 397"
"604, 330","609, 334","614, 319","618, 323"
"669, 385","673, 390","677, 377","681, 381"
"626, 351","630, 356","633, 345","636, 349"
"619, 302","646, 328","672, 247","700, 272"
"680, 241","710, 264","722, 196","751, 217"
"589, 299","614, 328","640, 249","665, 279"
"747, 195","779, 217","781, 158","811, 179"
