Path,Car,Distance,RL_View,Angle,Data-Aug
/home/ket/maryam/imgaug/All/rotated30_and_flipped_cal_car1_15_30L.JPG,car1,15,left,30,sp_rot30_flip
/home/ket/maryam/imgaug/All/rotated15_cal_car5_2_30R.JPG,car5,2,left,30,sp_rot15_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated30_and_flipped_cal_car4_20_45L.JPG,car4,20,left,30,sp_rot30_flip
/home/ket/maryam/imgaug/All/rotated45_and_flipped_cal_car1_6_45L.JPG,car1,6,left,30,sp_rot45_flip
/home/ket/maryam/imgaug/All/rotated45_and_flipped_cal_car4_25_0.JPG,car4,25,none,0,sp_rot45_flip
/home/ket/maryam/imgaug/All/rotated15_cal_car4_2_30R.JPG,car4,2,left,30,sp_rot15_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated45_cal_car4_4_0.JPG,car4,4,none,30,sp_rot45_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated30_and_flipped_cal_car6_25_0.JPG,car6,25,none,0,sp_rot30_flip
/home/ket/maryam/imgaug/All/rotated45_cal_car2_2_0.JPG,car2,2,none,30,sp_rot45_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated45_and_flipped_cal_car1_10_30R.JPG,car1,10,left,0,sp_rot45_flip
/home/ket/maryam/imgaug/All/cal_car4_2_0.JPG,car4,2,none,30,none
/home/ket/maryam/imgaug/All/rotated30_cal_car1_10_0.JPG,car1,10,none,0,sp_rot30_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated45_and_flipped_cal_car4_15_45L.JPG,car4,15,left,30,sp_rot45_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated45_cal_car6_20_45R.JPG,car6,20,left,30,sp_rot45_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated45_and_flipped_cal_car6_20_0.JPG,car6,20,none,0,sp_rot45_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated45_and_flipped_cal_car4_8_45L.JPG,car4,8,left,30,sp_rot45_flip
/home/ket/maryam/imgaug/All/rotated15_cal_car6_20_0.JPG,car6,20,none,0,sp_rot15_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated30_and_flipped_cal_car4_10_45L.JPG,car4,10,left,30,sp_rot30_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated15_and_flipped_cal_car3_2_45R.JPG,car3,2,left,30,sp_rot15_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated15_cal_car4_8_45R.JPG,car4,8,left,30,sp_rot15_flip
/home/ket/maryam/imgaug/All/salt_pepper_rotated30_cal_car3_30_30R.JPG,car3,30,left,0,sp_rot30_flip
