"622, 268","623, 283","655, 267","656, 281",,
"727, 276","731, 291","753, 275","757, 290",,
"619, 427","617, 443","651, 427","649, 443",,
"7, 263","6, 282","47, 260","47, 279",,
"761, 320","766, 335","784, 319","789, 334",,
"682, 224","680, 260","707, 241","704, 258",,
"632, 261","632, 272","655, 260","655, 271",,
"738, 279","741, 289","756, 278","759, 288",,
"711, 325","710, 335","731, 325","731, 334",,
"48, 298","47, 310","74, 296","74, 308",,
"737, 323","740, 332","751, 322","755, 331",,
"589, 295","588, 305","605, 292","604, 302",,
"659, 274","664, 350","815, 264","823, 340",,
"729, 217","747, 294","857, 207","878, 276",,
"547, 310","541, 381","677, 300","673, 373",,
"15, 330","5, 420","202, 320","197, 409",,
"794, 245","820, 320","902, 232","930, 298",,
"487, 303","473, 376","605, 296","593, 374",,
"642, 281","642, 289","658, 280","659, 288",,
"674, 278","675, 285","687, 277","689, 285",,
"620, 356","619, 363","635, 355","634, 362",,
"0, 0","0, 0","0, 0","0, 0",,
"719, 227","721, 235","731, 226","733, 235",,
"620, 278","619, 286","632, 276","632, 284",,
"670, 273","670, 279","683, 272","683, 279",,
"626, 354","626, 361","638, 354","638, 360",,
"32, 393","31, 400","49, 391","49, 399",,
"675, 264","675, 269","687, 263","687, 269",,
"633, 310","633, 315","643, 310","643, 315",,
"83, 327","83, 333","98, 326","98, 332",,
"621, 248","622, 287","700, 243","705, 281",,
"789, 275","798, 313","854, 271","865, 307",,
"660, 359","656, 396","728, 353","726, 391",,
"0, 0","0, 0","0, 0","0, 0",,
"785, 210","798, 249","841, 204","855, 240",,
"585, 310","578, 348","644, 305","638, 345",,
"637, 241","639, 268","691, 238","694, 264",,
"706, 304","713, 329","749, 301","756, 325",,
"633, 411","630, 437","680, 408","679, 433",,
"67, 314","65, 344","130, 308","129, 338",,
"668, 335","675, 380","704, 353","713, 377",,
"655, 242","651, 268","694, 238","691, 264",,
"652, 260","653, 280","692, 258","693, 278",,
"720, 291","725, 310","753, 289","758, 307",,
"642, 448","640, 467","678, 444","677, 464",,
"0, 0","0, 0","0, 0","0, 0",,
"739, 321","745, 341","767, 319","774, 337",,
"570, 233","567, 254","600, 231","597, 251",,
"689, 376","690, 393","721, 374","722, 391",here,
"763, 350","766, 367","789, 348","792, 365",,
"623, 361","623, 377","650, 360","650, 375",,
"778, 342","781, 358","800, 339","803, 355",,
"653, 254","653, 271","676, 253","675, 270",,
"657, 373","657, 384","678, 373","678, 384",,
"723, 346","725, 357","742, 345","742, 357",,
"631, 366","631, 377","650, 365","650, 377",,
"717, 336","720, 348","732, 335","734, 346",,
"609, 280","609, 291","625, 278","625, 289",,
"620, 383","622, 460","769, 375","773, 452",,
"733, 299","744, 382","864, 282","874, 357",,
"545, 376","543, 452","683, 377","682, 455",,
"859, 307","874, 391","974, 280","989, 359",,
"480, 354","474, 431","602, 365","597, 448",,
"668, 386","668, 395","684, 386","684, 394",,
"698, 331","699, 340","712, 330","713, 339",,
"568, 359","568, 368","582, 358","582, 367",,
"779, 406","780, 415","791, 406","791, 415",,
"485, 304","485, 313","497, 304","497, 313",,
"693, 384","693, 391","706, 384","706, 390",,
"642, 381","642, 387","652, 381","652, 387",,
"701, 356","701, 362","712, 355","712, 361",,
"662, 371","662, 377","671, 370","671, 377",,
"640, 352","640, 390","712, 348","713, 386",,
"787, 401","794, 442","851, 394","858, 432",,
"588, 335","587, 374","660, 334","659, 374",,
"735, 315","743, 354","788, 306","796, 343",,
"509, 358","506, 398","568, 357","567, 399",,
"638, 364","638, 390","686, 361","687, 387",,
"777, 369","781, 395","820, 365","824, 390",,
"600, 308","600, 334","647, 306","647, 332",,
"765, 365","770, 392","800, 360","806, 386",,
"590, 378","587, 402","626, 379","624, 404",,
"689, 386","689, 405","728, 384","729, 403",,
"711, 360","714, 380","743, 357","746, 377",,
"615, 343","615, 363","649, 342","649, 361",,
"764, 340","768, 361","790, 338","795, 357",,
"619, 316","617, 335","646, 315","646, 335",,
"647, 326","647, 340","677, 325","677, 340",,
"702, 352","704, 367","728, 351","730, 366",,
"581, 312","851, 327","609, 311","609, 327",,
"758, 359","761, 375","781, 359","783, 373",,
"580, 355","580, 370","604, 353","602, 369",,
"677, 324","677, 334","697, 324","697, 334",,
"690, 354","691, 364","707, 354","708, 363",,
"622, 360","622, 369","640, 359","640, 369",,
"773, 378","774, 388","789, 379","789, 388",,
"570, 399","570, 409","586, 397","585, 407",,
"654, 312","656, 392","813, 308","817, 388",,
"709, 233","719, 310","832, 227","843, 298",,
"540, 270","532, 347","684, 272","679, 352",,
"835, 240","850, 320","940, 235","954, 307",,
"434, 193","420, 273","565, 202","552, 289",,
"682, 323","682, 330","697, 322","697, 330",,
"672, 371","673, 378","685, 371","685, 377",,
"616, 370","616, 378","631, 370","631, 378",,
"728, 290","279, 298","739, 290","740, 298",,
"570, 347","569, 355","581, 346","581, 355",,
"636, 313","636, 320","649, 313","649, 320",,
"642, 398","642, 405","653, 398","653, 405",,
"635, 344","635, 350","645, 344","645, 350",,
"665, 303","665, 342","742, 302","745, 341",,
"751, 304","757, 341","814, 301","819, 338",,
"646, 281","643, 320","718, 281","715, 320",,
"831, 319","838, 358","882, 317","889, 354",,
"532, 332","526, 361","590, 321","585, 362",,
"673, 311","673, 336","724, 310","724, 335",,
"762, 319","766, 344","805, 318","809, 343",,
"632, 338","630, 363","678, 336","677, 363",,
"807, 330","811, 355","843, 328","847, 353",,
"595, 341","591, 367","632, 341","628, 367",,
"656, 297","656, 315","693, 296","693, 315",,
"678, 315","681, 334","709, 314","711, 332",,
"609, 326","608, 345","644, 325","643, 344",,
"727, 372","730, 391","754, 372","756, 390",,
"576, 356","573, 375","604, 355","601, 375",,
"673, 329","674, 345","704, 327","705, 343",,
